,AGREEMENT_END_DATE__C,CUSTOMER__C
3456,2017-12-04,0011300001t5U74AAE
3460,2017-12-22,0011300001t5cqwAAA
3463,2017-12-31,0011300001t5oP1AAI
3464,2017-09-19,0011300001t5oVdAAI
3465,2017-11-14,0011300001t5of6AAA
3468,2018-01-22,0011300001t5pOyAAI
3473,2017-11-16,0011300001t61R4AAI
3480,2017-03-13,0011300001t6HF6AAM
3483,2016-12-01,0011300001t6IR3AAM
3488,2017-11-22,0011300001t6PSLAA2
3489,2018-04-04,0011300001t6PcqAAE
3491,2018-03-12,0011300001t6RNAAA2
3492,2018-01-26,0011300001t6RPGAA2
3494,2017-11-27,0011300001t6Vo1AAE
3496,2018-01-30,0011300001t6ZpmAAE
3498,2018-01-17,0011300001t6c8YAAQ
3500,2018-06-30,0011300001t6iYUAAY
3502,2018-01-30,0011300001t6o6sAAA
3508,2017-12-29,0011300001t6ujiAAA
3509,2018-02-06,0011300001t6umwAAA
3519,2017-12-29,0011300001t7D1EAAU
3521,2017-10-24,0011300001t7FLnAAM
3522,2017-09-12,0011300001t7IgKAAU
3526,2018-07-27,0011300001t7ShGAAU
3528,2017-12-18,0011300001t7VrOAAU
3529,2018-02-16,0011300001t7WEwAAM
3531,2017-12-20,0011300001t7Yf5AAE
3532,2018-01-18,0011300001t7YghAAE
3533,2018-03-13,0011300001t7Zl3AAE
3534,2017-12-21,0011300001t7aHyAAI
3536,2018-07-05,0011300001t7cCoAAI
3537,2018-06-27,0011300001t7dn7AAA
3538,2017-03-15,0011300001t7eClAAI
3544,2017-12-11,0011300001t7oyeAAA
3545,2017-12-31,0011300001t7x6cAAA
3546,2017-12-19,0011300001t7xMBAAY
3549,2018-01-19,0011300001t83mkAAA
3553,2018-02-15,0011300001t87ynAAA
3556,2017-12-13,0011300001t89XzAAI
3562,2017-12-29,0011300001t8DiMAAU
3564,2017-12-31,0011300001twdw1AAA
3565,2017-02-16,0011300001twemBAAQ
3566,2017-12-31,0011300001twfANAAY
3570,2018-02-28,0011300001twgOaAAI
3576,2017-12-18,0011300001twqdoAAA
3579,2018-07-24,0011300001twshzAAA
3582,2017-12-26,0011300001twuy6AAA
3584,2018-01-11,0011300001tx0JwAAI
3585,2017-12-21,0011300001tx0vJAAQ
3586,2018-04-26,0011300001tx1qJAAQ
3590,2018-01-26,0011300001txAcOAAU
3591,2018-04-30,0011300001txBmdAAE
3592,2018-01-22,0011300001txHTpAAM
3593,2017-12-27,0011300001txKQNAA2
3596,2017-12-21,0011300001txNCxAAM
3597,2017-08-14,0011300001txOuIAAU
3600,2017-12-31,0011300001txSORAA2
3601,2018-03-21,0011300001txSlpAAE
3602,2017-12-28,0011300001txTYtAAM
3603,2018-01-02,0011300001txc84AAA
3615,2017-02-14,0011300001tyA39AAE
3616,2018-01-30,0011300001tyAHgAAM
3617,2018-07-11,0011300001tyAw7AAE
3620,2018-01-10,0011300001tyJQZAA2
3621,2017-10-05,0011300001tyPRPAA2
3623,2017-01-31,0011300001tyUIfAAM
3624,2018-07-09,0011300001tyb83AAA
3625,2018-01-18,0011300001tyeUYAAY
3627,2017-06-01,0011300001tyj0mAAA
3633,2018-03-07,0011300001tz19NAAQ
3636,2018-01-29,0011300001tzLQ6AAM
3637,2017-04-08,0011300001tzRM1AAM
3638,2017-12-27,0011300001tzSaLAAU
3639,2017-07-31,0011300001tzTkpAAE
3640,2018-02-15,0011300001tzWkFAAU
3641,2018-03-16,0011300001tzdwGAAQ
3642,2018-01-26,0011300001tziDdAAI
3645,2018-01-30,0011300001tztaTAAQ
3646,2018-06-21,0011300001tzvqvAAA
3651,2017-04-10,0011300001u0ApSAAU
3653,2018-02-27,0011300001u0Dd5AAE
3657,2018-03-16,0011300001u0IMQAA2
3658,2017-10-02,0011300001u0INxAAM
3662,2018-02-05,0011300001u0bPpAAI
3665,2018-07-11,0011300001u0fLzAAI
3672,2017-11-29,0011300001uglGJAAY
3674,2018-02-07,0011300001ugrKuAAI
3677,2018-02-08,0011300001ugudYAAQ
3678,2017-08-15,0011300001ugw1AAAQ
3679,2017-11-29,0011300001uh1BKAAY
3682,2018-02-13,0011300001uhJWFAA2
3688,2018-03-30,0011300001uhRjwAAE
3691,2017-02-21,0011300001uhdHgAAI
3692,2018-03-21,0011300001uhn8PAAQ
3699,2017-07-26,0011300001uhwrrAAA
3702,2018-06-27,0011300001uiEcqAAE
3703,2018-03-07,0011300001uiEdyAAE
3705,2018-06-28,0011300001uiEfhAAE
3706,2018-06-22,0011300001uiEhHAAU
3711,2018-06-30,0011300001uiExBAAU
3713,2018-06-12,0011300001uiExrAAE
3717,2018-06-30,0011300001uiFBxAAM
3718,2018-06-17,0011300001uiFETAA2
3720,2018-06-12,0011300001uiFFgAAM
3723,2018-03-15,0011300001uiFIlAAM
3725,2018-01-01,0011300001uiFKJAA2
3726,2018-05-31,0011300001uiFN6AAM
3748,2018-05-17,0011300001uiFjRAAU
3749,2018-06-30,0011300001uiFjTAAU
3751,2018-07-31,0011300001uiFk6AAE
3754,2018-07-16,0011300001uiFnMAAU
3761,2018-07-27,0011300001uiFpwAAE
3763,2018-07-25,0011300001uiFqvAAE
3766,2018-04-30,0011300001uiFsaAAE
3772,2018-03-29,0011300001uiFuJAAU
3777,2018-07-11,0011300001uiFwgAAE
3779,2018-07-04,0011300001uiFxQAAU
3780,2018-06-30,0011300001uiFxsAAE
3793,2018-03-15,0011300001uiG1NAAU
3798,2018-07-27,0011300001uiG4QAAU
3799,2018-02-22,0011300001uiG5lAAE
3801,2018-06-27,0011300001uiG6zAAE
3802,2018-02-10,0011300001uiG7FAAU
3804,2018-07-03,0011300001uiG84AAE
3807,2018-05-14,0011300001uiG8iAAE
3815,2018-07-30,0011300001uiGBUAA2
3826,2017-09-28,0011300001uiGEiAAM
3827,2018-07-01,0011300001uiGGBAA2
3828,2018-07-06,0011300001uiGGKAA2
3833,2018-02-28,0011300001uiGI0AAM
3835,2018-07-11,0011300001uiGIIAA2
3837,2018-07-31,0011300001uiGImAAM
3842,2018-07-25,0011300001uiGJbAAM
3846,2018-05-30,0011300001uiGLPAA2
3848,2018-06-15,0011300001uiGN4AAM
3859,2018-05-31,0011300001uiGREAA2
3863,2018-05-24,0011300001uiGTQAA2
3866,2018-07-14,0011300001uiGVwAAM
3871,2018-05-25,0011300001uiGXmAAM
3877,2017-06-30,0011300001uiGaKAAU
3890,2018-07-26,0011300001uiGhpAAE
3891,2018-06-30,0011300001uiGihAAE
3901,2018-06-29,0011300001uiGpTAAU
3910,2018-06-19,0011300001uiGuoAAE
3911,2018-07-04,0011300001uiGuwAAE
3922,2018-02-28,0011300001uiH2lAAE
3924,2018-06-30,0011300001uiH3GAAU
3925,2018-08-01,0011300001uiH71AAE
3928,2018-06-29,0011300001uiH7oAAE
3931,2018-07-30,0011300001uiH89AAE
3935,2018-07-20,0011300001uiH9KAAU
3944,2018-05-06,0011300001uiHEhAAM
3954,2018-06-24,0011300001uiHKIAA2
3956,2018-06-25,0011300001uiHKTAA2
3960,2018-07-21,0011300001uiHM7AAM
3962,2018-05-24,0011300001uiHNBAA2
3963,2018-06-23,0011300001uiHNaAAM
3965,2018-01-31,0011300001uiHNlAAM
3971,2017-12-20,0011300001uiHPCAA2
3972,2017-12-27,0011300001uiHQSAA2
3974,2018-01-16,0011300001uiHRGAA2
3978,2018-02-22,0011300001uiHULAA2
3981,2018-06-30,0011300001uiHVQAA2
3982,2018-07-16,0011300001uiHVZAA2
3983,2018-03-19,0011300001uiHVdAAM
3984,2018-06-25,0011300001uiHVnAAM
3986,2017-12-28,0011300001uiHWIAA2
3988,2018-04-29,0011300001uiHWtAAM
3990,2018-01-04,0011300001uiHXFAA2
3994,2018-06-19,0011300001uiHYfAAM
3997,2018-05-25,0011300001uiHZTAA2
3999,2018-02-04,0011300001uiHZfAAM
4000,2018-04-29,0011300001uiHa9AAE
4002,2018-01-01,0011300001uiHbxAAE
4007,2018-01-31,0011300001uiHcnAAE
4010,2017-12-27,0011300001uiHe6AAE
4019,2017-12-31,0011300001uiHgiAAE
4021,2018-07-07,0011300001uiHiIAAU
4028,2018-07-23,0011300001uiHqJAAU
4032,2017-12-21,0011300001uiHr1AAE
4037,2018-07-18,0011300001uiHseAAE
4042,2018-07-26,0011300001uiHvoAAE
4047,2018-05-24,0011300001uiHzSAAU
4052,2018-02-28,0011300001uiI4YAAU
4060,2018-06-30,0011300001uiI6OAAU
4072,2017-07-26,0011300001uiIC7AAM
4077,2018-03-31,0011300001uiIFzAAM
4089,2018-06-30,0011300001uiILvAAM
4096,2018-05-25,0011300001uiIQJAA2
4097,2018-05-05,0011300001uiIRBAA2
4100,2018-07-27,0011300001uiIWOAA2
4102,2018-05-18,0011300001uiIXKAA2
4103,2018-07-31,0011300001uiIXwAAM
4110,2018-07-31,0011300001uiIbGAAU
4113,2018-06-30,0011300001uiIcQAAU
4118,2018-08-01,0011300001uiIh5AAE
4119,2018-05-22,0011300001uiIhHAAU
4124,2018-04-16,0011300001uiIkSAAU
4128,2018-07-29,0011300001uiIpIAAU
4144,2018-06-10,0011300001uiJ3EAAU
4146,2018-04-15,0011300001uiJ4QAAU
4147,2018-04-08,0011300001uiJ4mAAE
4152,2018-06-30,0011300001uiJ8bAAE
4170,2018-07-31,0011300001uiJHNAA2
4171,2018-06-03,0011300001uiJI5AAM
4173,2018-07-31,0011300001uiJKkAAM
4174,2018-04-08,0011300001uiJLHAA2
4186,2018-07-21,0011300001uiJSgAAM
4199,2018-04-29,0011300001uiJcpAAE
4200,2018-03-31,0011300001uiJcrAAE
4205,2017-12-04,0011300001uiJfQAAU
4215,2018-05-06,0011300001uiJj0AAE
4216,2018-06-30,0011300001uiJj8AAE
4218,2018-07-06,0011300001uiJjIAAU
4223,2018-07-30,0011300001uiJlKAAU
4225,2018-07-15,0011300001uiJmBAAU
4227,2018-07-17,0011300001uiJoKAAU
4228,2018-01-31,0011300001uiJooAAE
4234,2018-06-30,0011300001uiJvBAAU
4239,2018-07-31,0011300001uiJxeAAE
4241,2018-05-22,0011300001uiJycAAE
4248,2018-06-29,0011300001uiK3FAAU
4254,2018-07-09,0011300001uiK5tAAE
4259,2018-01-25,0011300001uiK7OAAU
4269,2018-07-01,0011300001uiKAzAAM
4271,2013-10-22,0011300001uiKBiAAM
4273,2018-07-31,0011300001uiKFlAAM
4297,2018-03-21,0011300001uiKxCAAU
4301,2018-07-28,0011300001uiL1BAAU
4302,2018-05-13,0011300001uiL1oAAE
4304,2018-01-02,0011300001uiL3BAAU
4305,2017-12-31,0011300001uiL7KAAU
4306,2018-05-31,0011300001uiL9HAAU
4309,2017-12-31,0011300001uiLAQAA2
4311,2018-02-28,0011300001uiLBZAA2
4313,2018-07-18,0011300001uiLC3AAM
4318,2018-06-30,0011300001uiLEbAAM
4325,2017-12-31,0011300001uiLOuAAM
4326,2017-10-16,0011300001uiLQSAA2
4330,2017-01-13,0011300001uiLTTAA2
4331,2017-12-31,0011300001uiLU3AAM
4338,2011-11-01,0011300001uiLcIAAU
4339,2018-06-29,0011300001uiLcaAAE
4344,2017-11-14,0011300001uiLkrAAE
4354,2018-05-05,0011300001uiLrEAAU
4359,2018-04-27,0011300001uiLvHAAU
4360,2017-12-31,0011300001uiLvIAAU
4362,2018-01-11,0011300001uiLvyAAE
4364,2018-07-23,0011300001uiLwzAAE
4366,2018-07-01,0011300001uiLz7AAE
4369,2018-07-08,0011300001uiM1cAAE
4374,2018-04-16,0011300001uiM5wAAE
4379,2018-03-30,0011300001uiMEfAAM
4380,2018-06-29,0011300001uiMF4AAM
4382,2017-09-29,0011300001uiMLPAA2
4385,2018-07-29,0011300001uiMOBAA2
4395,2018-07-31,0011300001uiMXSAA2
4407,2018-04-30,0011300001uiMhpAAE
4414,2018-07-31,0011300001uiMlvAAE
4418,2018-05-17,0011300001uiMuFAAU
4426,2018-06-28,0011300001uiN45AAE
4429,2018-04-30,0011300001uiNAMAA2
4432,2018-05-13,0011300001uiNBHAA2
4435,2018-06-24,0011300001uiNCNAA2
4436,2018-06-29,0011300001uiNIhAAM
4441,2018-03-27,0011300001uiNQ5AAM
4442,2018-04-30,0011300001uiNRBAA2
4446,2016-10-12,0011300001uiNTFAA2
4448,2018-06-25,0011300001uiNTZAA2
4451,2013-04-01,0011300001uiNWeAAM
4461,2018-04-05,0011300001uiNbHAAU
4462,2018-06-21,0011300001uiNbWAAU
4463,2017-10-26,0011300001uiNbbAAE
4473,2018-07-31,0011300001uiNgXAAU
4475,2018-02-28,0011300001uiNh3AAE
4476,2018-07-31,0011300001uiNhVAAU
4486,2018-06-10,0011300001uiNlWAAU
4489,2013-10-01,0011300001uiNozAAE
4491,2018-07-18,0011300001uiNqTAAU
4492,2018-07-31,0011300001uiNseAAE
4493,2018-06-17,0011300001uiNtNAAU
4502,2017-12-31,0011300001uiNy7AAE
4513,2018-03-31,0011300001uiO3rAAE
4515,2016-09-30,0011300001uiO4fAAE
4516,2018-05-30,0011300001uiO6XAAU
4517,2018-07-27,0011300001uiO6YAAU
4518,2018-07-29,0011300001uiO7CAAU
4522,2018-06-30,0011300001uiOBhAAM
4526,2017-03-31,0011300001uiOIjAAM
4528,2018-03-09,0011300001uiOJLAA2
4531,2018-07-09,0011300001uiOQCAA2
4533,2018-07-23,0011300001uiOSnAAM
4536,2017-12-30,0011300001uiOVpAAM
4540,2018-06-30,0011300001uiOXQAA2
4542,2018-06-29,0011300001uiOYEAA2
4543,2018-07-29,0011300001uiOYwAAM
4544,2017-10-14,0011300001uiOarAAE
4545,2018-05-25,0011300001uiObAAAU
4551,2018-06-26,0011300001uiOdyAAE
4555,2018-05-13,0011300001uiOgaAAE
4556,2017-11-09,0011300001uiOhPAAU
4557,2016-08-17,0011300001uiOiLAAU
4559,2018-07-20,0011300001uiOjSAAU
4560,2018-06-29,0011300001uiOjsAAE
4562,2017-06-02,0011300001uiOkoAAE
4563,2018-07-01,0011300001uiOldAAE
4567,2018-07-16,0011300001uiOopAAE
4578,2018-06-23,0011300001uiP1dAAE
4582,2018-06-29,0011300001uiP43AAE
4583,2017-02-15,0011300001uiP4hAAE
4587,2017-06-30,0011300001uiPCDAA2
4589,2018-02-15,0011300001uiPCOAA2
4593,2018-07-19,0011300001uiPECAA2
4596,2018-06-23,0011300001uiPEoAAM
4603,2018-07-01,0011300001uiPKiAAM
4606,2018-07-18,0011300001uiPLRAA2
4611,2018-07-13,0011300001uiPQsAAM
4612,2018-03-25,0011300001uiPSIAA2
4621,2017-12-31,0011300001uiPbiAAE
4625,2018-07-27,0011300001uiPeMAAU
4628,2014-04-30,0011300001uiPgwAAE
4630,2018-06-23,0011300001uiPjcAAE
4631,2011-05-01,0011300001uiPk5AAE
4633,2018-06-30,0011300001uiPl0AAE
4638,2018-06-17,0011300001uiPpOAAU
4639,2018-06-21,0011300001uiPsSAAU
4640,2018-03-28,0011300001uiPuCAAU
4641,2018-04-26,0011300001uiPuOAAU
4643,2017-09-30,0011300001uiPwRAAU
4646,2018-06-06,0011300001uiPydAAE
4648,2018-07-23,0011300001uiQ0WAAU
4649,2017-03-05,0011300001uiQ0kAAE
4653,2018-04-28,0011300001uiQ3rAAE
4654,2018-04-19,0011300001uiQ6QAAU
4658,2018-07-30,0011300001uiQ9BAAU
4660,2018-04-15,0011300001uiQAlAAM
4661,2018-06-30,0011300001uiQB4AAM
4662,2018-06-23,0011300001uiQC2AAM
4663,2018-07-01,0011300001uiQC8AAM
4665,2018-06-15,0011300001uiQDOAA2
4671,2018-07-31,0011300001uiQFuAAM
4672,2018-06-30,0011300001uiQGdAAM
4673,2018-06-30,0011300001uiQGiAAM
4677,2018-03-28,0011300001uiQIXAA2
4679,2018-07-23,0011300001uiQIsAAM
4680,2018-03-26,0011300001uiQJlAAM
4692,2018-05-18,0011300001uiQSOAA2
4694,2018-05-15,0011300001uiQVpAAM
4700,2018-07-13,0011300001uiQgQAAU
4710,2018-03-19,0011300001uiQrvAAE
4711,2018-07-29,0011300001uiQscAAE
4713,2018-02-22,0011300001uiQtzAAE
4714,2012-10-01,0011300001uiQu2AAE
4716,2018-06-25,0011300001uiQy3AAE
4717,2018-05-31,0011300001uiQyKAAU
4721,2016-10-13,0011300001uiR0vAAE
4722,2018-08-01,0011300001uiR1CAAU
4726,2018-07-31,0011300001uiR31AAE
4728,2013-05-31,0011300001uiRAGAA2
4730,2017-08-11,0011300001uiRKcAAM
4731,2018-06-22,0011300001uiTZMAA2
4746,2017-12-14,0011300001uiVbmAAE
4748,2017-11-15,0011300001uilrEAAQ
4750,2018-03-20,0011300001uipfeAAA
4751,2018-06-26,0011300001uisbZAAQ
4755,2018-04-29,0011300001uj6lEAAQ
4758,2018-04-07,0011300001uj9UaAAI
4760,2018-03-14,0011300001ujOBPAA2
4761,2017-06-21,0011300001ujOd4AAE
4763,2018-03-15,0011300001ujY8JAAU
4767,2018-03-15,0011300001uk1hNAAQ
4768,2018-05-18,0011300001uk6q6AAA
4770,2018-04-15,0011300001ukAKmAAM
4773,2017-03-27,0011300001ukCbDAAU
4775,2018-07-11,0011300001ukJBLAA2
4777,2017-12-29,0011300001ukQXIAA2
4778,2018-03-31,0011300001ukQYaAAM
4782,2018-03-30,0011300001ukVLgAAM
4785,2018-03-30,0011300001ukgPPAAY
4786,2017-09-12,0011300001ukiAhAAI
4790,2018-03-16,0011300001ukuD8AAI
4798,2018-07-13,0011300001vRDKFAA4
4799,2018-03-31,0011300001vRDUKAA4
4800,2018-03-21,0011300001vRDuYAAW
4804,2017-08-24,0011300001vRKV8AAO
4809,2018-03-28,0011300001vRNrMAAW
4810,2017-06-06,0011300001vRQ86AAG
4811,2017-12-06,0011300001vRQkyAAG
4815,2018-04-30,0011300001vRcQ8AAK
4816,2018-07-14,0011300001vRjz8AAC
4817,2017-07-10,0011300001vRnLWAA0
4818,2018-03-21,0011300001vRpsxAAC
4820,2017-11-16,0011300001vRtV1AAK
4821,2016-04-07,0011300001vRulWAAS
4824,2018-03-28,0011300001vRumEAAS
4826,2018-03-31,0011300001vRvOFAA0
4835,2018-06-15,0011300001vS7DlAAK
4838,2018-04-06,0011300001vS88DAAS
4839,2018-06-29,0011300001vS8OKAA0
4840,2017-06-05,0011300001vSROKAA4
4844,2018-03-31,0011300001vSXLyAAO
4845,2018-07-31,0011300001vSXMDAA4
4846,2017-11-30,0011300001vSXMPAA4
4848,2018-05-31,0011300001vSdFoAAK
4849,2017-11-29,0011300001vSfusAAC
4850,2018-04-05,0011300001vSgpgAAC
4853,2018-07-26,0011300001vSlgKAAS
4861,2018-06-29,0011300001vTB7HAAW
4863,2017-11-06,0011300001vTEiPAAW
4864,2018-04-20,0011300001vTGyAAAW
4865,2018-04-19,0011300001vTIjEAAW
4866,2018-06-06,0011300001vTIveAAG
4867,2018-06-04,0011300001vTMZdAAO
4869,2017-06-27,0011300001vTNPNAA4
4872,2017-12-21,0011300001vTgZ5AAK
4873,2017-06-01,0011300001vTmfKAAS
4874,2018-06-29,0011300001vToE4AAK
4877,2018-06-04,0011300001vTtvCAAS
4878,2017-11-28,0011300001vTxxsAAC
4880,2017-12-18,0011300001vU8gmAAC
4881,2018-04-21,0011300001vUC3IAAW
4883,2017-09-22,0011300001vUKAxAAO
4888,2017-05-26,0011300001vUYoMAAW
4892,2017-12-11,0011300001vUawkAAC
4895,2018-06-12,0011300001vUdaRAAS
4897,2018-04-27,0011300001w2Hk2AAE
4898,2018-04-28,0011300001w2I4wAAE
4900,2018-05-01,0011300001w2VDSAA2
4903,2018-06-19,0011300001w2dfNAAQ
4905,2018-05-02,0011300001wFIcZAAW
4906,2018-06-30,0011300001wFIcgAAG
4907,2017-12-20,0011300001wFOS3AAO
4908,2018-06-05,0011300001wFUcBAAW
4910,2018-07-30,0011300001wFZLZAA4
4915,2017-08-07,0011300001wHLCbAAO
4922,2017-07-10,0011300001wHanwAAC
4926,2018-05-15,0011300001wHoTEAA0
4929,2017-08-16,0011300001wHz4tAAC
4931,2017-06-15,0011300001wI5CiAAK
4935,2017-08-16,0011300001wIBM3AAO
4939,2017-08-16,0011300001wIDfNAAW
4941,2017-08-16,0011300001wIE90AAG
4946,2018-05-30,0011300001wIGzkAAG
4948,2017-11-15,0011300001wIMvyAAG
4955,2018-05-22,0011300001wIfgOAAS
4965,2018-05-25,0011300001wIsE8AAK
4967,2017-05-31,0011300001wIt8pAAC
4970,2017-08-09,0011300001wJ0sZAAS
4971,2017-12-21,0011300001wJF2cAAG
4973,2018-06-28,0011300001wJMHkAAO
4975,2017-10-11,0011300001wJNh6AAG
4976,2017-11-27,0011300001wJNrDAAW
4978,2017-06-08,0011300001wmp7lAAA
4979,2017-07-12,0011300001wmzIqAAI
4980,2017-06-01,0011300001wmzMdAAI
4981,2018-07-31,0011300001wn24uAAA
4984,2017-08-15,0011300001wn6LJAAY
4986,2017-06-02,0011300001wn7m9AAA
4987,2017-08-31,0011300001wnF2XAAU
4988,2017-07-19,0011300001wnFCDAA2
4989,2017-11-21,0011300001wnHX7AAM
4993,2018-06-30,0011300001wnKNQAA2
4997,2017-09-29,0011300001wnY1MAAU
4998,2017-11-28,0011300001wnYqyAAE
4999,2018-01-25,0011300001wnaOiAAI
5000,2017-06-30,0011300001wncMtAAI
5002,2018-02-25,0011300001wni4ZAAQ
5007,2017-12-08,0011300001wnlIMAAY
5009,2018-06-12,0011300001wnlKIAAY
5011,2018-06-08,0011300001wnowQAAQ
5012,2018-06-28,0011300001wnuNaAAI
5014,2017-08-29,0011300001wnvKoAAI
5020,2018-06-12,0011300001wnxphAAA
5021,2018-06-18,0011300001wo0oUAAQ
5022,2017-07-20,0011300001wo1VTAAY
5024,2017-12-21,0011300001wo3o7AAA
5029,2018-07-11,0011300001woDIWAA2
5030,2017-06-26,0011300001woJskAAE
5034,2017-06-30,0011300001woY3SAAU
5040,2017-11-27,0011300001wolVCAAY
5043,2018-06-30,0011300001wouS5AAI
5044,2018-06-30,0011300001woudNAAQ
5051,2018-07-19,0011300001wpKemAAE
5054,2018-02-08,0011300001wpMR3AAM
5055,2017-09-15,0011300001wpPvSAAU
5057,2017-10-11,0011300001wpRRFAA2
5058,2017-11-17,0011300001wpRsmAAE
5059,2017-12-21,0011300001wpRzYAAU
5061,2017-07-31,0011300001wpS59AAE
5062,2017-10-31,0011300001wpTkJAAU
5064,2018-06-27,0011300001wpUjwAAE
5065,2017-11-29,0011300001wpUmgAAE
5069,2018-06-28,0011300001wpgqKAAQ
5070,2018-06-29,0011300001wphCgAAI
5071,2017-08-22,0011300001wpwBWAAY
5072,2017-08-03,0011300001wpx5CAAQ
5073,2017-08-04,0011300001wpxk9AAA
5074,2017-09-12,0011300001wq0pYAAQ
5076,2017-07-10,0011300001wqDeKAAU
5078,2018-07-09,0011300001wqSZ2AAM
5079,2018-03-30,0011300001wqSmGAAU
5080,2018-07-10,0011300001wqWPFAA2
5081,2017-10-30,0011300001wqWTvAAM
5083,2017-09-10,0011300001wqZf3AAE
5086,2017-11-22,0011300001wqmCzAAI
5088,2018-01-18,0011300001wqnNPAAY
5091,2017-07-24,0011B00001IvffkQAB
5092,2018-07-24,0011B00001IvnQxQAJ
5097,2018-01-19,0011B00001Ivt5tQAB
5098,2017-10-20,0011B00001IvtOcQAJ
5100,2017-11-30,0011B00001IvztXQAR
5102,2018-07-27,0011B00001Iw4GYQAZ
5103,2018-07-27,0011B00001Iw4NmQAJ
5106,2015-04-01,0011B00001Iw7XZQAZ
5107,2017-01-31,0011B00001Iw7XcQAJ
5108,2011-12-01,0011B00001Iw7XlQAJ
5109,2010-11-30,0011B00001Iw7XmQAJ
5110,2011-03-01,0011B00001Iw7XzQAJ
5113,2009-04-30,0011B00001Iw7YNQAZ
5114,2017-04-30,0011B00001Iw7YdQAJ
5115,2007-09-30,0011B00001Iw7YeQAJ
5116,2007-06-30,0011B00001Iw7YyQAJ
5117,2007-05-31,0011B00001Iw7Z6QAJ
5118,2012-07-31,0011B00001Iw7Z7QAJ
5119,2009-11-30,0011B00001Iw7Z8QAJ
5120,2010-10-01,0011B00001Iw7ZAQAZ
5123,2014-11-12,0011B00001Iw7dCQAR
5124,2016-03-01,0011B00001Iw7fbQAB
5126,2014-01-01,0011B00001Iw7icQAB
5127,2014-06-01,0011B00001Iw7inQAB
5132,2018-01-31,0011B00001Iw7nJQAR
5133,2018-02-28,0011B00001Iw7nXQAR
5134,2013-12-23,0011B00001Iw7nZQAR
5135,2013-01-01,0011B00001Iw7nbQAB
5138,2012-12-31,0011B00001Iw7rVQAR
5140,2017-12-31,0011B00001Iw7vmQAB
5142,2016-12-31,0011B00001Iw7ykQAB
5144,2015-05-01,0011B00001Iw7zNQAR
5145,2017-12-31,0011B00001Iw80GQAR
5146,2009-12-31,0011B00001Iw80dQAB
5147,2016-11-30,0011B00001Iw80gQAB
5148,2013-01-01,0011B00001Iw84oQAB
5152,2010-08-31,0011B00001Iw85BQAR
5154,2018-06-30,0011B00001Iw86CQAR
5156,2016-05-31,0011B00001Iw87YQAR
5158,2012-06-01,0011B00001Iw87oQAB
5159,2017-12-31,0011B00001Iw881QAB
5160,2012-09-30,0011B00001Iw88gQAB
5163,2016-12-31,0011B00001Iw88pQAB
5164,2008-08-31,0011B00001Iw88qQAB
5165,2008-01-31,0011B00001Iw88rQAB
5169,2015-12-31,0011B00001Iw8ADQAZ
5170,2018-05-31,0011B00001Iw8ArQAJ
5171,2010-12-31,0011B00001Iw8AsQAJ
5172,2014-12-31,0011B00001Iw8BNQAZ
5173,2007-08-31,0011B00001Iw8BRQAZ
5175,2013-10-01,0011B00001Iw8HfQAJ
5179,2013-01-01,0011B00001Iw8HzQAJ
5182,2014-11-30,0011B00001Iw8IVQAZ
5183,2012-07-01,0011B00001Iw8IpQAJ
5184,2013-12-01,0011B00001Iw8JCQAZ
5185,2011-02-01,0011B00001Iw8JjQAJ
5187,2015-06-30,0011B00001Iw8LsQAJ
5190,2014-05-31,0011B00001Iw8SfQAJ
5191,2018-07-31,0011B00001Iw8TGQAZ
5193,2013-06-01,0011B00001Iw8VZQAZ
5194,2013-09-01,0011B00001Iw8WhQAJ
5195,2013-02-01,0011B00001Iw8XFQAZ
5196,2014-03-31,0011B00001Iw8XUQAZ
5197,2015-02-25,0011B00001Iw8XzQAJ
5201,2013-01-01,0011B00001Iw8YwQAJ
5203,2014-01-01,0011B00001Iw8ZZQAZ
5206,2018-06-30,0011B00001Iw8asQAB
5207,2009-10-31,0011B00001Iw8b8QAB
5208,2018-06-30,0011B00001Iw8bPQAR
5210,2011-12-31,0011B00001Iw8baQAB
5211,2016-12-31,0011B00001Iw8bxQAB
5218,2017-06-30,0011B00001Iw8e7QAB
5221,2016-12-31,0011B00001Iw8eaQAB
5224,2013-05-01,0011B00001Iw8h9QAB
5225,2014-08-27,0011B00001Iw8hWQAR
5227,2011-05-31,0011B00001Iw8i2QAB
5229,2013-06-01,0011B00001Iw8iNQAR
5230,2012-01-31,0011B00001Iw8iTQAR
5234,2017-05-31,0011B00001Iw8k5QAB
5235,2018-05-31,0011B00001Iw8kKQAR
5236,2013-04-30,0011B00001Iw8kNQAR
5237,2014-01-01,0011B00001Iw8luQAB
5241,2009-02-28,0011B00001Iw8o8QAB
5242,2008-03-31,0011B00001Iw8oHQAR
5244,2012-10-31,0011B00001Iw8wwQAB
5246,2012-01-01,0011B00001Iw8x2QAB
5248,2012-07-01,0011B00001Iw8xBQAR
5251,2018-01-31,0011B00001Iw8y1QAB
5252,2014-10-01,0011B00001Iw8yRQAR
5253,2010-09-30,0011B00001Iw8yUQAR
5254,2017-01-31,0011B00001Iw8yWQAR
5256,2011-01-01,0011B00001Iw8ywQAB
5257,2011-10-31,0011B00001Iw8zBQAR
5259,2014-04-30,0011B00001Iw8zHQAR
