ID,CREATEDDATE,CASE__C,RESOLUTION__C,OVERALL_GENERAL_COMMENTS__C,CUSTOMER_EFFORT__C,ACCOUNTID
a0k1B00000H4epNQAR,2018-05-21 15:32:53.000,5001B000016LrmwQAC,4,,4,0011300001uiG5sAAE
a0k1B00000H4epIQAR,2018-05-21 14:01:19.000,5001B000017Jnz5QAC,5,,6,0011300001l4NJNAA2
a0k1B00000H4epDQAR,2018-05-21 13:58:04.000,5001B000017KsJwQAK,6,,6,0013000000eb6lQAAQ
a0k1B00000H4ep8QAB,2018-05-21 13:57:12.000,5001B000017KjX0QAK,6,Jason was very helpful in resolving my case and escalating the issue to the correct team so a new license code could be issued.,5,0011300001uiEkNAAU
a0k1B00000H4ep3QAB,2018-05-21 13:46:45.000,5001B000017KWP7QAO,6,,6,0013000000eap3dAAA
a0k1B00000H4eoyQAB,2018-05-21 12:56:55.000,5001B000017K0EFQA0,3,Support always seems in a hurry. I feel like I'm being rushed through getting help and the just want to get you off the phone.,3,0011300001l4PvmAAE
a0k1B00000H4eotQAB,2018-05-21 11:23:48.000,5001B000017KKnQQAW,6,Monsieur Oliwer Borysewicz m'a été d'une aide extrêmement précieuse dans la résolution de ce ticket.,6,0011300001uhR16AAE
a0k1B00000H4eooQAB,2018-05-21 09:53:05.000,5001B000017KBcDQAW,5,,5,001a000001EnfMfAAJ
a0k1B00000H4eojQAB,2018-05-21 09:20:30.000,5001B000017KlgvQAC,6,,6,0011300001uiK8xAAE
a0k1B00000H4eoeQAB,2018-05-21 06:50:26.000,5001B000017JiQMQA0,6,Fast response time.,6,0011300001uiGTUAA2
a0k1B00000H4eoZQAR,2018-05-19 19:13:24.000,5001B000017KdkCQAS,5,,,0013000000dqNuyAAE
a0k1B00000H4eoFQAR,2018-05-18 21:04:54.000,5001B000017KmgDQAS,6,Great work with a great technician,,0011300001uiKhzAAE
a0k1B00000H4eoAQAR,2018-05-18 20:58:59.000,5001B000017KlblQAC,6,,,0011300001uiNemAAE
a0k1B00000H4eo5QAB,2018-05-18 20:52:29.000,5001B000017K5LdQAK,6,,,0013000000dqOH7AAM
a0k1B00000H4eo0QAB,2018-05-18 20:51:29.000,5001B000017KmbmQAC,6,,,00130000015NNnvAAG
a0k1B00000H4envQAB,2018-05-18 20:25:48.000,5001B000017KjS5QAK,6,,,0011300001uiOfrAAE
a0k1B00000H4enqQAB,2018-05-18 19:42:44.000,5001B000017KeCLQA0,6,,,001a000001NIazkAAD
a0k1B00000H4enlQAB,2018-05-18 18:44:34.000,5001B000017Khi6QAC,5,,,0011300001uiPPOAA2
a0k1B00000H4engQAB,2018-05-18 18:25:36.000,5001B000017KmEiQAK,6,,,0011300001uiNkdAAE
a0k1B00000H4enbQAB,2018-05-18 18:10:14.000,5001B000017KgfGQAS,6,,,001a000001NJZr0AAH
a0k1B00000H4enWQAR,2018-05-18 18:02:28.000,5001B000017KjlbQAC,6,,,0011300001uiNxmAAE
a0k1B00000H4enRQAR,2018-05-18 17:53:45.000,5001B000017KlsNQAS,6,,,0013000000ebPJRAA2
a0k1B00000H4enMQAR,2018-05-18 17:51:05.000,5001B000017K4MVQA0,6,,,0013000000dqQCeAAM
a0k1B00000H4enHQAR,2018-05-18 17:49:46.000,5001B000017Km6oQAC,6,,,0011300001aAWU1AAO
a0k1B00000H4enCQAR,2018-05-18 17:21:46.000,5001B000017KlxDQAS,6,,,001a000001NITAeAAP
a0k1B00000H4en7QAB,2018-05-18 17:21:23.000,5001B000017Km7cQAC,6,,,001a000001NITAeAAP
a0k1B00000H4en2QAB,2018-05-18 17:15:54.000,5001B000017Km81QAC,6,David was more than helpful.  He took the extra time to answer all my questions and show me new things. A+ employee.,,001a000001NITAeAAP
a0k1B00000H4emxQAB,2018-05-18 16:15:30.000,5001B000017K8RyQAK,5,,,0011300001uiQ9BAAU
a0k1B00000H4emsQAB,2018-05-18 16:03:10.000,5001B000017Kl7CQAS,6,"Quick support, which is appreciated",,0011300001dYH2tAAG
a0k1B00000H4emnQAB,2018-05-18 15:32:24.000,5001B000017KVzoQAG,6,,,0013000000dqO9aAAE
a0k1B00000H4emiQAB,2018-05-18 14:25:56.000,5001B000017KPpvQAG,6,awesome customer service and knowledge.,,001a000001NIH35AAH
a0k1B00000H4emdQAB,2018-05-18 14:16:17.000,5001B000017KH5oQAG,6,,,00130000013BTOcAAO
a0k1B00000H4emYQAR,2018-05-18 12:53:54.000,5001B000017K9X6QAK,5,,,0011B00001IwDhWQAV
a0k1B00000H4emTQAR,2018-05-18 09:42:08.000,5001B000013ob15QAA,5,Bin zu frieden mit dem Support,,0011B00001IwXcxQAF
a0k1B00000H4emOQAR,2018-05-18 07:54:25.000,5001B000017KfKWQA0,4,,,0013000000dqMIaAAM
a0k1B00000H4emJQAR,2018-05-18 03:32:43.000,5001B000017KkQUQA0,6,,,0011300001uiJrPAAU
a0k1B00000H4emEQAR,2018-05-18 01:59:22.000,5001B000017KZX4QAO,5,,,0011300001l48Y4AAI
a0k1B00000H4em9QAB,2018-05-17 21:08:52.000,5001B000017Keq6QAC,6,,,0011300001uiEfgAAE
a0k1B00000H4em4QAB,2018-05-17 20:14:26.000,5001B000017K9YdQAK,5,,,001a000001NIHrnAAH
a0k1B00000H4elpQAB,2018-05-17 19:07:51.000,5001B000017KjtGQAS,6,,,0011300001uiGTDAA2
a0k1B00000H4elkQAB,2018-05-17 18:57:24.000,5001B000017KjUfQAK,6,,,0011300001i9KCSAA2
a0k1B00000H4elfQAB,2018-05-17 18:02:08.000,5001B000017KjjQQAS,6,,,001a000001CYKjCAAX
a0k1B00000H4elaQAB,2018-05-17 17:46:08.000,5001B000017Kh4GQAS,6,,,0011300001uiLlHAAU
a0k1B00000H4elVQAR,2018-05-17 17:44:18.000,5001B000017KglrQAC,6,,,0011300001uiLlHAAU
a0k1B00000H4elQQAR,2018-05-17 17:34:44.000,5001B000017KipIQAS,6,,,0011300001uiLlHAAU
a0k1B00000H4elLQAR,2018-05-17 17:32:15.000,5001B000017K08vQAC,4,,,0011300001iAPs9AAG
a0k1B00000H4elGQAR,2018-05-17 16:56:22.000,5001B000017Kc2GQAS,6,Thanks for quick support and Initiating Webex to check the system.,,0011B00001IwPkVQAV
a0k1B00000H4elBQAR,2018-05-17 16:41:47.000,5001B000017KghMQAS,6,,,001a000001GZP3GAAX
a0k1B00000H4el6QAB,2018-05-17 16:19:26.000,5001B000017Kd6dQAC,6,,,0013000000vuDSjAAM
a0k1B00000H4el1QAB,2018-05-17 16:06:32.000,5001B000017Jrb6QAC,6,Brian was very responsive and attentive to get my issue resolved.,,0011300001hAK2qAAG
a0k1B00000H4ekwQAB,2018-05-17 14:26:06.000,5001B000017KWbSQAW,3,,,001a000001NIGgfAAH
a0k1B00000H4ekrQAB,2018-05-17 13:50:51.000,5001B000017KgAwQAK,6,This case is not closed yet,,0013000000dqQAYAA2
a0k1B00000H4ekmQAB,2018-05-17 13:20:47.000,5001B000017KGvyQAG,6,,,0013000000dqOLSAA2
a0k1B00000H4ekhQAB,2018-05-17 13:09:05.000,5001B000017JHmoQAG,2,,,0011300001l4RXkAAM
a0k1B00000H4ekcQAB,2018-05-17 12:33:49.000,5001B000017KiTWQA0,6,,,0011300001uiKBHAA2
a0k1B00000H4ekXQAR,2018-05-17 12:31:09.000,5001B000017KWHrQAO,4,,,0011300001l49npAAA
a0k1B00000H4ekSQAR,2018-05-17 12:23:47.000,5001B000017KiPAQA0,6,,,001a000001BSq2hAAD
a0k1B00000H4ekNQAR,2018-05-17 12:22:12.000,5001B000017KeYlQAK,6,,,001a000001GZP0FAAX
a0k1B00000H4ekIQAR,2018-05-17 12:15:27.000,5001B000017KgXbQAK,6,,,0011300001l4AqXAAU
a0k1B00000H4ekDQAR,2018-05-17 11:48:25.000,5001B000017JoC6QAK,6,,,0011300001l4D1JAAU
a0k1B00000H4ek8QAB,2018-05-17 11:44:45.000,5001B000017KhLqQAK,6,,,0011300001iAPs9AAG
a0k1B00000H4ek3QAB,2018-05-17 10:55:16.000,5001B000017KZlaQAG,6,,,0011300001uiFngAAE
a0k1B00000H4ejyQAB,2018-05-17 10:12:11.000,5001B000017KKwNQAW,6,,,0013000000dqT5yAAE
a0k1B00000H4ejtQAB,2018-05-17 10:11:14.000,5001B000017KiPPQA0,6,,,001a000001BSq2hAAD
a0k1B00000H4ejoQAB,2018-05-17 09:37:19.000,5001B000017KiGcQAK,6,,,0011300001l4Q5xAAE
a0k1B00000H4ejjQAB,2018-05-17 09:23:50.000,5001B000017KIanQAG,5,,,0011300001l4OwaAAE
a0k1B00000H4ejeQAB,2018-05-17 09:04:17.000,5001B000017KE8pQAG,6,,,0011B00001IwCUqQAN
a0k1B00000H4ejZQAR,2018-05-17 07:16:16.000,5001B000017KGonQAG,6,,,0011300001jHeZUAA0
a0k1B00000H4ejUQAR,2018-05-17 05:48:02.000,5001B000017KfelQAC,5,,,0011B00001IwEoUQAV
a0k1B00000H4ejPQAR,2018-05-16 22:07:18.000,5001B000017KfxxQAC,6,,,0013000000ebDZAAA2
a0k1B00000H4ejKQAR,2018-05-16 21:57:32.000,5001B000017JHOmQAO,6,,,0011300001uiEczAAE
a0k1B00000H4ejFQAR,2018-05-16 21:09:52.000,5001B000017KMzsQAG,6,,,0013000000dqNlhAAE
a0k1B00000H4ejAQAR,2018-05-16 20:59:08.000,5001B000017Khd6QAC,6,,,0011300001jGBNvAAO
a0k1B00000H4ej5QAB,2018-05-16 20:21:11.000,5001B000017KM9NQAW,2,I would appreciate a document detailing how to run HEAT on MAC. Right now all i know is that I can do so online but not sure how to get it working.,,0011300001uiK6cAAE
a0k1B00000H4ej0QAB,2018-05-16 19:50:25.000,5001B000017KPu7QAG,6,,,0013000000dqOLSAA2
a0k1B00000H4eivQAB,2018-05-16 19:21:10.000,5001B000017KgMTQA0,6,,,0013000000earOnAAI
a0k1B00000H4eiqQAB,2018-05-16 18:29:42.000,5001B000017Kh4BQAS,6,,,001a000001FNOBIAA5
a0k1B00000H4eilQAB,2018-05-16 18:17:28.000,5001B000017KeePQAS,6,,,0011300001uiPdjAAE
a0k1B00000H4eigQAB,2018-05-16 17:37:47.000,5001B000017KfVtQAK,5,,,0011300001q1ozXAAQ
a0k1B00000H4eibQAB,2018-05-16 17:20:47.000,5001B000017KbdGQAS,6,,,0011300001uiPyOAAU
a0k1B00000H4eiWQAR,2018-05-16 17:09:15.000,5001B000017KgFwQAK,6,Always a pleasure to speak with the Ivanti Techs for assistance in helping my unknown issues that are not covered in the online forums or self help,,0011B00001IwRxrQAF
a0k1B00000H4eiRQAR,2018-05-16 16:00:39.000,5001B000017KeK5QAK,6,"I would like to see Ivanti Patch for SCCM be able to download binaries for ALL ""supported"" vendors' updates.  In the meantime, distinguishing between updates that can or cannot donwload binaries would be very helpful in the console.  This way, administrators don't waste time trying to publish updates that won't download binaries, and can focus on publishing them as metadata only.",,0011300001hCbpUAAS
a0k1B00000H4eiMQAR,2018-05-16 15:50:13.000,5001B000017KgBQQA0,6,,,0011300001t6RXeAAM
a0k1B00000H4eiHQAR,2018-05-16 15:35:39.000,5001B000017KfvXQAS,6,Did not like the web site experience.,,0011300001iAPsYAAW
a0k1B00000H4eiCQAR,2018-05-16 14:58:47.000,5001B000017KgCTQA0,6,,,001a000001HYYnLAAX
a0k1B00000H4ei7QAB,2018-05-16 14:36:02.000,5001B000017Kb7MQAS,6,,,0011B00001Ix0RZQAZ
a0k1B00000H4ei2QAB,2018-05-16 14:29:52.000,5001B000017KVA5QAO,6,,,0011B00001IwTluQAF
a0k1B00000H4ehxQAB,2018-05-16 14:25:06.000,5001B000017IyQmQAK,6,,,0011B00001IwE6NQAV
a0k1B00000H4ehsQAB,2018-05-16 14:06:22.000,5001B000017InbmQAC,6,,,0013000000eb8JkAAI
a0k1B00000H4ehnQAB,2018-05-16 14:02:54.000,5001B000017K30kQAC,6,,,0013000000dqRLmAAM
a0k1B00000H4ehiQAB,2018-05-16 13:29:23.000,5001B000017KdRyQAK,5,,,0011300001uiMQPAA2
a0k1B00000H4ehdQAB,2018-05-16 10:09:14.000,5001B000017KXXMQA4,6,,,0011300001uiEfPAAU
a0k1B00000H4ehYQAR,2018-05-16 08:14:56.000,5001B000017KctUQAS,6,,,00130000015N6pFAAS
a0k1B00000H4ehTQAR,2018-05-16 07:19:20.000,5001B000017KGxzQAG,6,,,0011300001l4B8pAAE
a0k1B00000H4ehOQAR,2018-05-16 04:39:01.000,5001B000017Kf7wQAC,6,,,0011300001uiPLcAAM
a0k1B00000H4ehJQAR,2018-05-15 21:57:01.000,5001B000017KeK0QAK,5,,,0011300001uiMQPAA2
a0k1B00000H4ehEQAR,2018-05-15 20:05:26.000,5001B000017Jf7hQAC,6,,,0013000000ebPJRAA2
a0k1B00000H4eh9QAB,2018-05-15 19:54:22.000,5001B000017KJy2QAG,3,,,0013000000eb7BvAAI
a0k1B00000H4eh4QAB,2018-05-15 19:35:40.000,5001B000017KdLdQAK,6,,,0013000000dqQAYAA2
a0k1B00000H4egzQAB,2018-05-15 19:29:56.000,5001B000017KeIOQA0,5,,,0013000000dqQ1IAAU
a0k1B00000H4eguQAB,2018-05-15 19:02:20.000,5001B000017Ke9RQAS,6,,,0011300001uiLR9AAM
a0k1B00000H4egpQAB,2018-05-15 18:35:23.000,5001B000017Kdk2QAC,6,,,0011300001uiEcVAAU
a0k1B00000H4egkQAB,2018-05-15 18:04:12.000,5001B000017KLtKQAW,6,Best Heat service technician ever!!  Thank you!,,0011300001uiNhRAAU
a0k1B00000H4egfQAB,2018-05-15 17:04:39.000,5001B000017KTpkQAG,5,,,0013000000dqQUzAAM
a0k1B00000H4egaQAB,2018-05-15 16:32:42.000,5001B000017KdSSQA0,6,,,0011300001uiH2CAAU
a0k1B00000H4egVQAR,2018-05-15 15:59:52.000,5001B000017KdgoQAC,6,,,0011B00001IwQVMQA3
a0k1B00000H4egQQAR,2018-05-15 15:57:58.000,5001B000017J76nQAC,6,,,0011300001uiIdVAAU
a0k1B00000H4egLQAR,2018-05-15 15:23:06.000,5001B000017JvuDQAS,6,,,0011300001uiLvHAAU
a0k1B00000H4egGQAR,2018-05-15 14:57:35.000,5001B000017KaUqQAK,6,David as always was knowledgeable and courteous in the support provided.,,0013000000dqRAtAAM
a0k1B00000H4egBQAR,2018-05-15 14:56:32.000,5001B000017KcvBQAS,6,,,001a000001CYKjCAAX
a0k1B00000H4eg6QAB,2018-05-15 14:16:38.000,5001B000017KcuhQAC,6,,,0011300001dUyvTAAS
a0k1B00000H4eg1QAB,2018-05-15 13:34:34.000,5001B000016LkZLQA0,6,,,0011300001uiOd7AAE
a0k1B00000H4efwQAB,2018-05-15 13:20:11.000,5001B000016MUejQAG,6,,,0013000000dqQqCAAU
a0k1B00000H4efrQAB,2018-05-15 12:40:09.000,5001B000017JiWeQAK,1,"The issues caused by this issue, and the disruption caused, in addition to the lack of urgency or appreciation of the issue has left us seriously considering if this product, and Ivanti as a company, are the right fit for us.",,0011300001uiHKiAAM
a0k1B00000H4efmQAB,2018-05-15 12:10:17.000,5001B000017KUl0QAG,3,"I am hoping this will be an isolated incident but it is not the first time definitions have been messed up. I know not everything can be tested in such a short time frame, but I hope Ivanti takes EPM seriously moving forward until a change is made to the product line.",,0013000000eaxPSAAY
a0k1B00000H4efhQAB,2018-05-15 12:00:26.000,5001B000017KayZQAS,6,Staff knowledgeable and willing to assist.,,0011B00001IwMPOQA3
a0k1B00000H4efcQAB,2018-05-15 11:51:28.000,5001B000017KcXdQAK,6,,,0011B00001IwEBeQAN
a0k1B00000H4efXQAR,2018-05-15 10:32:17.000,5001B000017KKWUQA4,6,This subscription link should be accessible through the Ivanti Community,,0011300001uiFCVAA2
a0k1B00000H4efSQAR,2018-05-15 10:17:44.000,5001B000017Ka2vQAC,6,,,0011300001idOeZAAU
a0k1B00000H4efNQAR,2018-05-15 09:46:18.000,5001B000017KV05QAG,6,,,001a000001NIKAFAA5
a0k1B00000H4efIQAR,2018-05-15 09:17:49.000,5001B000017K4toQAC,5,,,0011300001uiEg8AAE
a0k1B00000H4efDQAR,2018-05-15 09:09:20.000,5001B000017KZc9QAG,6,,,0011300001woDCwAAM
a0k1B00000H4ef8QAB,2018-05-15 06:16:19.000,5001B000017KbnVQAS,5,,,0013000000eb7S4AAI
a0k1B00000H4ef3QAB,2018-05-15 04:54:52.000,5001B000017KQawQAG,6,,,0011300001l496AAAQ
a0k1B00000H4eeyQAB,2018-05-15 00:46:05.000,5001B000017KZaNQAW,6,,,0011300001eMxs1AAC
a0k1B00000H4eetQAB,2018-05-14 22:18:12.000,5001B000017KQTCQA4,3,,,0011300001uiGGOAA2
a0k1B00000H4eeoQAB,2018-05-14 22:10:30.000,5001B000017K2gQQAS,6,,,0011300001uiPyOAAU
a0k1B00000H4eejQAB,2018-05-14 22:09:52.000,5001B000017JW7sQAG,6,,,0011300001uiPyOAAU
a0k1B00000H4eeeQAB,2018-05-14 22:09:34.000,5001B000016MVWyQAO,6,,,0011300001uiPyOAAU
a0k1B00000H4eeZQAR,2018-05-14 22:09:02.000,5001B000017KM2RQAW,6,,,0011300001uiPyOAAU
a0k1B00000H4eeUQAR,2018-05-14 22:08:19.000,5001B000017KT4eQAG,6,,,0011300001uiPyOAAU
a0k1B00000H4eePQAR,2018-05-14 22:06:50.000,5001B000017KT08QAG,6,,,0011300001uiPyOAAU
a0k1B00000H4eeKQAR,2018-05-14 22:04:49.000,5001B000017KWisQAG,6,,,0011300001uiPyOAAU
a0k1B00000H4eeFQAR,2018-05-14 22:04:13.000,5001B000017KbpHQAS,6,,,0011300001uiPyOAAU
a0k1B00000H4eeAQAR,2018-05-14 20:31:17.000,5001B000017KapcQAC,6,great and timely help!,,0011300001t6HlqAAE
a0k1B00000H4ee0QAB,2018-05-14 18:27:05.000,5001B000017KWoCQAW,6,,,0011300001uiMF4AAM
a0k1B00000H4edvQAB,2018-05-14 17:47:58.000,5001B000017KSvIQAW,6,Randy is always very helpful. I am always pleased when he assists me with an issue.,,0011300001uiEjdAAE
a0k1B00000H4edqQAB,2018-05-14 17:21:25.000,5001B000017Kb6EQAS,6,World Class support.  Excellent Service!!! Thank you.,,001a000001NIIWxAAP
a0k1B00000H4edlQAB,2018-05-14 17:04:55.000,5001B000017KYXSQA4,6,This was a very good support experience. Thanks Brian...,,001a000001NIIabAAH
a0k1B00000H4edgQAB,2018-05-14 16:55:06.000,5001B000017KakwQAC,6,,,0011300001uiEcVAAU
a0k1B00000H4edbQAB,2018-05-14 16:40:47.000,5001B000017KZIsQAO,6,"Thank you to Randall, Jerome, Dinesh & Krishna for managing our requests and helping us through our struggles when we need it.  Thank you also to anyone else who was a part of this particular ticket. We appreciate the support.",,0011300001uiML7AAM
a0k1B00000H4edWQAR,2018-05-14 16:33:15.000,5001B000017KAnZQAW,6,It would be nice to be able to delete user accounts in Ivanti/Shavlik Protect without having to delete all of the users via a query to the database.  It doesn't make sense why an administrator of the box can't delete other user created accounts.,,001a000001NIFbcAAH
a0k1B00000H4edRQAR,2018-05-14 16:22:46.000,5001B000017KUKsQAO,6,Joyce was great and knew her stuff well! :),,0011300001wnhQWAAY
a0k1B00000H4edMQAR,2018-05-14 16:14:57.000,5001B000017KLVIQA4,6,,,0013000000eb8JkAAI
a0k1B00000H4edHQAR,2018-05-14 16:10:48.000,5001B000017Ka3UQAS,6,,,0011300001uiGLqAAM
a0k1B00000H4edCQAR,2018-05-14 15:55:33.000,5001B000017KUfgQAG,6,,,0011300001l1vWkAAI
a0k1B00000H4ed7QAB,2018-05-14 15:47:46.000,5001B000017KCVwQAO,6,Thanks for great support,,0011300001l49jQAAQ
a0k1B00000H4ed2QAB,2018-05-14 15:42:55.000,5001B000017KDXjQAO,6,,,0011300001k8V6oAAE
a0k1B00000H4ecxQAB,2018-05-14 15:33:19.000,5001B000017KWWNQA4,1,"The support engineer closed the case and sent a LINK with zero explanation as to why.

The actual explanation should have been that in order to receive a serial number update, one must select a specific non-intuitive set of options from the dropdown list(s) when creating the support case.

A single sentence explaining that (whether from the engineer or in the linked article) would have been ideal.

From the outside perspective, we are simply submitting a common request to support that should be easily handled -- whether by the initial rep who receives the request or by the person to whom that individual forwarded what they perceive as a misdirected incoming request to.",,0011300001uiEcVAAU
a0k1B00000H4ecsQAB,2018-05-14 15:19:17.000,5001B000017KaSkQAK,6,Jonathan Schmidt was great on the call.  Jonathan has always provide top notch support for us.,,0011300001uiM3sAAE
a0k1B00000H4ecnQAB,2018-05-14 14:42:08.000,5001B000017KZKyQAO,5,,,0011300001uiJwpAAE
a0k1B00000H4eciQAB,2018-05-14 14:31:07.000,5001B000017KZtKQAW,6,,,0011B00001IwEAOQA3
a0k1B00000H4ecdQAB,2018-05-14 14:24:16.000,5001B000017KW7jQAG,6,,,0011300001uiJM4AAM
a0k1B00000H4ecYQAR,2018-05-14 14:12:21.000,5001B000017Ka4mQAC,6,,,0011B00001IwXDZQA3
a0k1B00000H4ecTQAR,2018-05-14 13:12:33.000,5001B000017JnvlQAC,4,,,0011300001uiHv3AAE
a0k1B00000H4ecOQAR,2018-05-14 12:55:13.000,5001B000017KUXhQAO,6,,,0011300001uiQ3YAAU
a0k1B00000H4ecEQAR,2018-05-14 12:39:08.000,5001B000017JzT1QAK,6,,,0013000000eamqIAAQ
a0k1B00000H4ec9QAB,2018-05-14 12:32:11.000,5001B000017KZlzQAG,6,,,001a000001CYsIuAAL
a0k1B00000H4ec4QAB,2018-05-14 11:40:33.000,5001B000016LsCzQAK,6,,,0013000000dqNzQAAU
a0k1B00000H4ebzQAB,2018-05-14 10:41:43.000,5001B000017KDt6QAG,5,"I understand that when customers raise calls its possible that information is missing, and the engineer may require time to do some research to understand the process (As I'm still new to supporting Landesk and I feel like I live on the support site). What I struggled with was the 1st webex was scheduled to take place and went on for 2 1/2 hours (I have no issue with how long it takes) but at the end of it I was left not being able to log back into the console as myself, I had to go back over the work that was done to reverse it so I could which I don't believe I should have to do. I was also told that a webex would take place at 8.30am the next day but was sent an email instead with x3 actions that I needed to take first. No major issue with that as they were simple and straight forward. It would have been nice to have received an update as to what was happening as I had to escalate the case to our account manager as I wasn't sure what was happening as 1 1/2 hours had gone by with no update.
I do thank support for the work that they do but it would have been nice to receive an email advising that they were working on possible scenarios/research on causes of this issue, instead it felt like I was being left in the dark.",,0013000000xHS1eAAG
a0k1B00000H4ebuQAB,2018-05-14 09:34:57.000,5001B000017K2zXQAS,5,,,0011B00001IwDhWQAV
a0k1B00000H4ebpQAB,2018-05-14 08:58:47.000,5001B000017KXZ3QAO,6,World class customer service. Meets my needs and expectations. Great working with you!,,001a000001NIKAFAA5
a0k1B00000H4ebkQAB,2018-05-14 08:53:25.000,5001B000017KXYyQAO,3,,,0011B00001IwEAOQA3
a0k1B00000H4ebfQAB,2018-05-14 08:07:02.000,5001B000017JvDiQAK,4,i asked for a remote session or an escalation for the incident but had to wait for 2 weeks to find a solution with another supporter,,0011300001l2fWlAAI
a0k1B00000H4ebaQAB,2018-05-14 07:46:20.000,5001B000017KIezQAG,6,,,0013000000dqQroAAE
a0k1B00000H4ebVQAR,2018-05-14 07:30:11.000,5001B000017KInSQAW,5,,,0011B00001IwDBUQA3
a0k1B00000H4ebQQAR,2018-05-12 02:26:16.000,5001B000017KZ63QAG,6,,,001a000001NIMuYAAX
a0k1B00000H4ebLQAR,2018-05-11 21:00:25.000,5001B000013pCLrQAM,6,,,0011300001uiFuYAAU
a0k1B00000H4ebGQAR,2018-05-11 19:30:12.000,5001B000017KYbjQAG,6,,,0011300001l4F6qAAE
a0k1B00000H4ebBQAR,2018-05-11 19:16:04.000,5001B000017KPYaQAO,6,Alfredo made a good job,,0011300001uiKNIAA2
a0k1B00000H4eb6QAB,2018-05-11 19:12:50.000,5001B000017KXtmQAG,6,The support really could not have been any better.  Gregory was quick and easy to work with.  His knowledge with the product was A+,,0011B00001IvhkAQAR
a0k1B00000H4eawQAB,2018-05-11 19:03:16.000,5001B000017KYDDQA4,6,"Goldmine is a clunky, antiquated program to navigate.  There is no ""ease of use""   It doe do a lot of things.... none easy or efficiently.",,0011300001uiIdNAAU
a0k1B00000H4earQAB,2018-05-11 18:18:50.000,5001B000017KOj8QAG,6,,,0013000000eb5LWAAY
a0k1B00000H4eamQAB,2018-05-11 18:14:20.000,5001B000017KO1zQAG,4,,,0011B00001IwMjOQAV
a0k1B00000H4eahQAB,2018-05-11 17:47:14.000,5001B000017KY7UQAW,6,,,0011300001uiTHCAA2
a0k1B00000H4eacQAB,2018-05-11 17:36:19.000,5001B000017KYPiQAO,6,,,0011300001uiPjfAAE
a0k1B00000H4eaXQAR,2018-05-11 15:52:40.000,5001B000017KGYQQA4,6,"Great job, A+",,0013000000eafaHAAQ
a0k1B00000H4eaSQAR,2018-05-11 14:02:45.000,5001B000017IpOxQAK,4,Its a shame that this call had to be escalated to the highest level before it could get resolved.,,0013000000dqU9kAAE
a0k1B00000H4eaNQAR,2018-05-11 12:36:12.000,5001B000017KWIVQA4,5,Although the issue was resolved with a password reset as I could then log into the support portal I had to manually update my user record as it still had my full name in the last name field and nothing in the first name field hence why I was not able to do it myself in the first instance.,,0011300001l4B37AAE
a0k1B00000H4eaIQAR,2018-05-11 11:45:24.000,5001B000017KXQaQAO,6,Nice to talk to a dutch speaking engineer.,,0011B00001IwDGVQA3
a0k1B00000H4eaDQAR,2018-05-11 11:14:16.000,5001B000017KVJ2QAO,6,,,0011B00001IwTluQAF
a0k1B00000H4ea8QAB,2018-05-11 11:13:39.000,5001B000017KVJbQAO,6,,,0011B00001IwTluQAF
a0k1B00000H4ea3QAB,2018-05-11 11:01:00.000,5001B000017JMp7QAG,5,,,0011B00001IwHaJQAV
a0k1B00000H4eZyQAJ,2018-05-11 09:47:10.000,5001B000017KO0rQAG,6,,,0011300001l4MKDAA2
a0k1B00000H4eZtQAJ,2018-05-11 09:24:04.000,5001B000017KUe9QAG,6,One of the best support experiences I have encountered in my role. The solution and documentation provided was top class.,,0011300001l4DqRAAU
a0k1B00000H4eZoQAJ,2018-05-11 08:58:36.000,5001B000017JVLGQA4,5,,,0011300001l48deAAA
a0k1B00000H4eZjQAJ,2018-05-11 08:23:50.000,5001B000017KUnfQAG,6,"Everything was excellent in my first experience in logging a request. However, could do with a quicker response from the engineer that deals with the issue took over a day to hear anything., But, this is not an issue just stating how you could improve, excellent service in any case.",,0011300001l4BDRAA2
a0k1B00000H4eZeQAJ,2018-05-11 03:11:52.000,5001B000017KBoxQAG,5,"It took me several days to finally reach a person or get a person to get back to me.  I entered a case via the website and it apparently went to the wrong team, thus another delay.  Once Chris Casity contacted me and he connected with Matt Cook, things moved quickly and we were able to get the physical gateway appliance returned and the refund was sent to our reseller, SHI.  We're waiting for our refund from SHI.  Once I made contact with Ivanti staff, things went very well.  Thanks.",,0011300001uiPOpAAM
a0k1B00000H4eZZQAZ,2018-05-11 02:45:57.000,5001B000017KX8bQAG,6,,,0011300001uiKuoAAE
a0k1B00000H4eZUQAZ,2018-05-11 02:30:13.000,5001B000017KTGQQA4,6,,,0011300001l4H0dAAE
a0k1B00000H4eZPQAZ,2018-05-11 00:30:48.000,5001B000017KUYuQAO,6,,,0013000000dqQAYAA2
a0k1B00000H4eZKQAZ,2018-05-10 22:53:49.000,5001B000017KV8TQAW,6,,,0011300001uiEczAAE
a0k1B00000H4eZFQAZ,2018-05-10 21:47:55.000,5001B000017KILsQAO,1,,,0011300001l4QGFAA2
a0k1B00000H4eZAQAZ,2018-05-10 21:09:45.000,5001B000017KUszQAG,6,I have been a customer since 1999 and your tech guys never failed me.,,0011300001uiHF1AAM
a0k1B00000H4eZ5QAJ,2018-05-10 20:12:26.000,5001B000017KW5xQAG,6,Ivanti has the best support team! Thank you!,,001a000001NIIWxAAP
